;Q;kA;td_log;ttd_u;ttd_l;ttd_min;pr1;pr2;dp1;dp2;zeta1;zeta2;eff_cold;eff_hot;eff_max
1#发电锅炉_空气预热器;-19434377.0767125;298000.0;65.21603045876678;23.06720624753939;141.24338730644268;23.06720624753939;0.9999999925480705;0.9999999927354583;7.314494287129491e-09;7.627768791280687e-09;3.529999943612778e-08;1.4099999780016044e-07;0.9137586519945671;0.38541315175143637;0.9137586519945671
1#发电锅炉_煤气预热器;-6734480.528276417;119999.99999999997;56.12067106897016;28.19230733166603;98.26646900527595;28.19230733166603;0.9999999925470276;0.9999999923688967;7.315517868846655e-09;8.012658508960158e-09;4.2900000716650576e-08;3.449999978761607e-07;0.8021943141569711;0.20472977452583271;0.8021943141569711
1#发电锅炉_蒸发器上升管;-90442814.44086888;105592.12016808667;856.5299597820142;1130.882116763837;630.6032994630114;630.6032994630114;0.9699961953609589;1.0;0.03150399463058289;0.0;0.053799999999999654;0.0;0.07774094925270558;0.464151936867065;0.464151936867065
1#发电锅炉_屏式过热器;-4858395.579618315;8499.999999999862;571.5759505433405;580.2750454673296;562.9642338056584;562.9642338056584;0.983891557694123;0.9800092333722751;0.016406384012188063;3.4094075071313417;0.033099999999999415;5020.000000000177;0.03645370972669484;0.049441433208892493;0.049441433208892493
1#发电锅炉_末级过热器;-19746181.376717333;51699.99999999993;381.93774423050985;397.12795585637707;367.13991343919156;367.13991343919156;0.9973345460338029;0.9832697391280697;0.0026710237343741754;2.7394029259655066;0.005659999999999288;2689.999999999995;0.19511532986582064;0.24512107343750356;0.24512107343750356
1#发电锅炉_末级再热器;-15945657.631575925;48099.9999999973;331.5105536710358;331.70270610929765;331.31847545524136;331.31847545524136;0.997393062251527;0.9976957971059824;0.0026054220477804485;0.09091702268694062;0.006039999999999415;24.39999999999992;0.2171651472663437;0.228171387262918;0.228171387262918
1#发电锅炉_三级过热器;-21673995.98272048;89099.99999999987;243.25472483412472;273.6037341455309;215.23753015822945;215.23753015822945;0.9974513110389204;0.9796559285815101;0.0025405667164250917;3.4003020958287267;0.0065599999999991845;4179.999999999984;0.2687203729302953;0.3863173928733859;0.3863173928733859
1#发电锅炉_低温过热器;-28287376.81495202;192000.0000000003;147.33008757787488;225.6280603409465;89.65603413292592;89.65603413292592;0.9974831956961755;0.9798574655860849;0.0025023895609840112;3.5059092664276434;0.007669999999998898;6580.000000000008;0.32632975982492507;0.6704927084066468;0.6704927084066468
1#发电锅炉_低温再热器;-7323927.959915459;323999.99999999814;22.604715925665126;25.414653336710558;20.009947832068747;20.009947832068747;0.9974537895031924;0.9976344199468249;0.002525255722394941;0.09356010755332186;0.008959999999999364;28.200000000001012;0.6253737472463262;0.7031649541101693;0.7031649541101693
1#发电锅炉_上级省煤器;-11165820.097894898;190000.00000000178;58.767474199446276;85.29734448285114;38.407818759152974;38.407818759152974;0.9974060608074253;0.9808817589404192;0.0025660412612906656;3.392484194943905;0.009939999999999378;47900.00000000099;0.08580867688680133;0.6585492248226039;0.6585492248226039
1#发电锅炉_下级省煤器;-3926860.5970544945;133000.000000002;29.52526764702583;38.40776070519519;22.130804732148363;22.130804732148363;0.9973985027574814;0.9809576344404695;0.0025601783711687314;3.4446138732806593;0.01070000000000032;51000.00000000059;0.18754547314204267;0.5420527527134333;0.5420527527134333
