;m;m_unit;v;v_unit;p;p_unit;h;h_unit;T;T_unit;Td_bp;Td_bp_unit;vol;vol_unit;x;x_unit;s;s_unit;CH4;H2;H2O;CO2;CO;O2;N2;phase
抽凝式汽轮机1_高压蒸汽去高压缸1段;287.6155625306896;t / h;6267.145059134649;m3 / h;159.52506733410627;bar;3466.148692614817;kJ / kg;559.4457267623262;C;212.33174564067974;C;0.021790006785414897;m3 / kg;-1.0;-;6516.320838778681;J / kgK;nan;nan;1.0;nan;nan;nan;nan;state not recognised
抽凝式汽轮机1_高压缸一段蒸汽抽汽分离;287.6155625306896;t / h;13069.27870727219;m3 / h;66.66868415529375;bar;3259.8342650035256;kJ / kg;436.6490820308202;C;154.10088229916346;C;0.045440095773251664;m3 / kg;-1.0;-;6616.431776320581;J / kgK;nan;nan;1.0;nan;nan;nan;nan;state not recognised
抽凝式汽轮机1_高压蒸汽去高压缸2段;287.6155625306896;t / h;13069.278707272191;m3 / h;66.66868415529373;bar;3259.8342650035256;kJ / kg;436.6490820308202;C;154.10088229916346;C;0.04544009577325167;m3 / kg;-1.0;-;6616.431776320581;J / kgK;nan;nan;1.0;nan;nan;nan;nan;state not recognised
抽凝式汽轮机1_高压蒸汽高压缸一段抽汽出口;0.0;t / h;0.0;m3 / h;66.66868415529375;bar;3259.8342650035256;kJ / kg;436.6490820308202;C;154.10088229916346;C;0.045440095773251664;m3 / kg;-1.0;-;6616.431776320581;J / kgK;nan;nan;1.0;nan;nan;nan;nan;state not recognised
抽凝式汽轮机1_高压蒸汽去排气阀门;287.6155625306896;t / h;19266.28922727362;m3 / h;41.980280877396225;bar;3160.258882597069;kJ / kg;378.9165278371603;C;125.68052853174675;C;0.06698625435199752;m3 / kg;-1.0;-;6668.556424417478;J / kgK;nan;nan;1.0;nan;nan;nan;nan;state not recognised
抽凝式汽轮机1_蒸汽去中压缸1段;267.6155625306896;t / h;25414.163038814182;m3 / h;37.053040368432775;bar;3473.2844306526404;kJ / kg;510.5241973083241;C;264.6682961692885;C;0.09496519110655136;m3 / kg;-1.0;-;7161.503806996307;J / kgK;nan;nan;1.0;nan;nan;nan;nan;state not recognised
抽凝式汽轮机1_再热蒸汽去1段抽汽分离;267.6155625306896;t / h;37080.15348709567;m3 / h;23.63383115391926;bar;3360.64486269986;kJ / kg;453.27389154750074;C;232.2937267540117;C;0.13855753804617918;m3 / kg;-1.0;-;7214.569067673797;J / kgK;nan;nan;1.0;nan;nan;nan;nan;state not recognised
抽凝式汽轮机1_再热蒸汽去中压缸2段;267.6155625306896;t / h;37080.15348709567;m3 / h;23.63383115391926;bar;3360.64486269986;kJ / kg;453.27389154750074;C;232.2937267540117;C;0.13855753804617918;m3 / kg;-1.0;-;7214.569067673797;J / kgK;nan;nan;1.0;nan;nan;nan;nan;state not recognised
抽凝式汽轮机1_再热蒸汽1段抽汽出口;0.0;t / h;0.0;m3 / h;23.63383115391926;bar;3360.64486269986;kJ / kg;453.27389154750074;C;232.2937267540117;C;0.13855753804617918;m3 / kg;-1.0;-;7214.569067673797;J / kgK;nan;nan;1.0;nan;nan;nan;nan;state not recognised
抽凝式汽轮机1_再热蒸汽去2段抽汽分离;267.6155625306896;t / h;65819.1172404688;m3 / h;11.917058929306753;bar;3205.189387756086;kJ / kg;373.7418424743969;C;186.09824613933955;C;0.2459465235057875;m3 / kg;1.0;-;7297.414229134524;J / kgK;nan;nan;1.0;nan;nan;nan;nan;g
抽凝式汽轮机1_再热蒸汽去中压缸3段;267.6155625306896;t / h;65819.11724046881;m3 / h;11.917058929306755;bar;3205.189387756086;kJ / kg;373.74184247439723;C;186.0982461393404;C;0.2459465235057876;m3 / kg;1.0;-;7297.414229134524;J / kgK;nan;nan;1.0;nan;nan;nan;nan;g
抽凝式汽轮机1_再热蒸汽2段抽汽出口;0.0;t / h;0.0;m3 / h;11.917058929306753;bar;3205.189387756086;kJ / kg;373.7418424743969;C;186.09824613933955;C;0.2459465235057875;m3 / kg;1.0;-;7297.414229134524;J / kgK;nan;nan;1.0;nan;nan;nan;nan;g
抽凝式汽轮机1_再热蒸汽去3段抽汽分离;267.6155625306896;t / h;107607.98548518003;m3 / h;6.609461254909631;bar;3084.3285507286582;kJ / kg;311.4276256349423;C;148.78308099103947;C;0.4020991323060287;m3 / kg;1.0;-;7368.524505790398;J / kgK;nan;nan;1.0;nan;nan;nan;nan;g
抽凝式汽轮机1_再热蒸汽去中压缸4段;267.6155625306896;t / h;107607.98548518003;m3 / h;6.609461254909631;bar;3084.3285507286582;kJ / kg;311.4276256349423;C;148.78308099103947;C;0.4020991323060287;m3 / kg;1.0;-;7368.524505790398;J / kgK;nan;nan;1.0;nan;nan;nan;nan;g
抽凝式汽轮机1_再热蒸汽3段抽汽出口;0.0;t / h;0.0;m3 / h;6.609461254909631;bar;3084.3285507286582;kJ / kg;311.4276256349423;C;148.78308099103947;C;0.4020991323060287;m3 / kg;1.0;-;7368.524505790398;J / kgK;nan;nan;1.0;nan;nan;nan;nan;g
抽凝式汽轮机1_再热蒸汽去4段抽汽分离;267.6155625306896;t / h;218559.22064747632;m3 / h;2.8190353685713005;bar;2930.7364930733283;kJ / kg;231.40214219968044;C;99.98881794032764;C;0.8166909972674419;m3 / kg;1.0;-;7474.1614233890605;J / kgK;nan;nan;1.0;nan;nan;nan;nan;g
抽凝式汽轮机1_再热蒸汽去中压缸5段;267.6155625306896;t / h;218559.22064747635;m3 / h;2.8190353685713;bar;2930.7364930733283;kJ / kg;231.40214219968044;C;99.98881794032764;C;0.816690997267442;m3 / kg;1.0;-;7474.1614233890605;J / kgK;nan;nan;1.0;nan;nan;nan;nan;g
抽凝式汽轮机1_再热蒸汽4段抽汽出口;0.0;t / h;0.0;m3 / h;2.8190353685713005;bar;2930.7364930733283;kJ / kg;231.40214219968044;C;99.98881794032764;C;0.8166909972674419;m3 / kg;1.0;-;7474.1614233890605;J / kgK;nan;nan;1.0;nan;nan;nan;nan;g
抽凝式汽轮机1_再热蒸汽去5段抽汽分离;267.6155625306896;t / h;461919.8673198064;m3 / h;1.1416342167571143;bar;2790.7234415423345;kJ / kg;157.6082093928556;C;54.256927004628494;C;1.726057569117769;m3 / kg;1.0;-;7587.21790733342;J / kgK;nan;nan;1.0;nan;nan;nan;nan;g
抽凝式汽轮机1_再热蒸汽去中压缸6段;267.6155625306896;t / h;461919.8673198063;m3 / h;1.1416342167571143;bar;2790.7234415423345;kJ / kg;157.6082093928556;C;54.256927004628494;C;1.7260575691177689;m3 / kg;1.0;-;7587.21790733342;J / kgK;nan;nan;1.0;nan;nan;nan;nan;g
抽凝式汽轮机1_再热蒸汽5段抽汽出口;0.0;t / h;0.0;m3 / h;1.1416342167571143;bar;2790.7234415423345;kJ / kg;157.6082093928556;C;54.256927004628494;C;1.726057569117769;m3 / kg;1.0;-;7587.21790733342;J / kgK;nan;nan;1.0;nan;nan;nan;nan;g
抽凝式汽轮机1_再热蒸汽去6段抽汽分离;267.6155625306896;t / h;515988.6907759318;m3 / h;0.9977282194343099;bar;2771.1995776389194;kJ / kg;147.27020007476392;C;47.727835040838954;C;1.928096729115891;m3 / kg;1.0;-;7602.984023765594;J / kgK;nan;nan;1.0;nan;nan;nan;nan;g
抽凝式汽轮机1_再热蒸汽去中压缸7段;267.6155625306896;t / h;515988.6907759321;m3 / h;0.99772821943431;bar;2771.1995776389194;kJ / kg;147.2702000747642;C;47.72783504083924;C;1.9280967291158921;m3 / kg;1.0;-;7602.984023765596;J / kgK;nan;nan;1.0;nan;nan;nan;nan;g
抽凝式汽轮机1_再热蒸汽6段抽汽出口;0.0;t / h;0.0;m3 / h;0.9977282194343099;bar;2771.1995776389194;kJ / kg;147.27020007476392;C;47.727835040838954;C;1.928096729115891;m3 / kg;1.0;-;7602.984023765594;J / kgK;nan;nan;1.0;nan;nan;nan;nan;g
抽凝式汽轮机1_再热蒸汽去排气阀门;267.6155625306896;t / h;3205322.0096790646;m3 / h;0.12017202281653765;bar;2519.9558380238154;kJ / kg;49.4474076811307;C;0.0;C;11.977337862447685;m3 / kg;0.9704792534769323;-;7866.347248905456;J / kgK;nan;nan;1.0;nan;nan;nan;nan;tp
抽凝式汽轮机1_高压缸排汽;287.6155625306896;t / h;20458.651475723942;m3 / h;39.55059877502058;bar;3160.258882597069;kJ / kg;376.9304707520913;C;127.24560493256911;C;0.07113193491934544;m3 / kg;-1.0;-;6694.312918542988;J / kgK;nan;nan;1.0;nan;nan;nan;nan;state not recognised
抽凝式汽轮机1_高压缸排汽抽汽;20.0;t / h;1422.6386983869088;m3 / h;39.55059877502058;bar;3160.258882597069;kJ / kg;376.9304707520913;C;127.24560493256911;C;0.07113193491934544;m3 / kg;-1.0;-;6694.312918542988;J / kgK;nan;nan;1.0;nan;nan;nan;nan;state not recognised
抽凝式汽轮机1_中压缸排气出口;267.6155625306896;t / h;3471522.593797958;m3 / h;0.11055284298915322;bar;2519.9558380238154;kJ / kg;47.78252388732659;C;0.0;C;12.97205050771235;m3 / kg;0.9717634295068448;-;7903.600175519738;J / kgK;nan;nan;1.0;nan;nan;nan;nan;tp
1#发电锅炉_空气混合加热空气入口;273.00149355302506;t / h;410495.64489425294;m3 / h;1.0499999923722312;bar;556.440362313879;kJ / kg;275.0340254046429;C;0.0;C;1.5036388246517864;m3 / kg;0.0;-;7496.141851823748;J / kgK;0.0;0.0;0.0;0.0;0.0;0.24;0.76;nan
1#发电锅炉_空气锅炉入口;273.00149355302506;t / h;410495.64489425294;m3 / h;1.0499999923722314;bar;556.440362313879;kJ / kg;275.0340254046429;C;0.0;C;1.5036388246517864;m3 / kg;0.0;-;7496.141851823748;J / kgK;0.0;0.0;0.0;0.0;0.0;0.24;0.76;nan
1#发电锅炉_高转煤气混合后;202.74999999999997;t / h;152718.6255750351;m3 / h;1.0500000000000003;bar;405.30639223349647;kJ / kg;20.999668885040364;C;0.0;C;0.7532361310729229;m3 / kg;0.0;-;5266.617426640038;J / kgK;0.0;0.0019823674475955614;0.0;0.3280630086313194;0.21070937114673247;0.0;0.45924525277435263;nan
1#发电锅炉_高转煤气预热后;202.74999999999997;t / h;213585.18307770437;m3 / h;1.0499999919873417;bar;524.8828652386513;kJ / kg;138.05107997477666;C;0.0;C;1.0534411002599475;m3 / kg;0.0;-;5608.467753117688;J / kgK;0.0;0.0019823674475955614;0.0;0.3280630086313194;0.21070937114673247;0.0;0.45924525277435263;nan
1#发电锅炉_混合燃料气锅炉入口;213.85;t / h;240691.4278521907;m3 / h;1.0499999919873417;bar;550.8253925818941;kJ / kg;121.04973376829844;C;0.0;C;1.1255152109057316;m3 / kg;0.0;-;6057.4420240062545;J / kgK;0.017492167407061027;0.00868428805237316;0.0;0.31620451250876785;0.21173661444938044;0.0;0.4458824175824176;nan
1#发电锅炉_燃烧烟气;486.8514935530251;t / h;2213484.3213763773;m3 / h;1.049999991987342;bar;2278.8572447566926;kJ / kg;1485.1081150014647;C;0.0;C;4.546528768398031;m3 / kg;0.0;-;7895.9088617589705;J / kgK;0.0;0.0;0.051345908997267854;0.30610203915710626;0.0;0.020529096983666496;0.6220229548619594;nan
1#发电锅炉_上升管烟气出口;486.8514935530251;t / h;1632713.3273674406;m3 / h;1.018495997356759;bar;1610.082194667078;kJ / kg;984.8292977006391;C;0.0;C;3.3536167578576292;m3 / kg;0.0;-;7457.227965746564;J / kgK;0.0;0.0;0.051345908997267854;0.30610203915710626;0.0;0.020529096983666496;0.6220229548619594;nan
1#发电锅炉_末过烟气入口;486.8514935530251;t / h;1622902.3241263758;m3 / h;1.002089613344571;bar;1574.1570217586354;kJ / kg;957.1279558562509;C;0.0;C;3.333464815487145;m3 / kg;0.0;-;7432.760590051022;J / kgK;0.0;0.0;0.051345908997267854;0.30610203915710626;0.0;0.020529096983666496;0.6220229548619594;nan
1#发电锅炉_再烟气入口;486.8514935530251;t / h;1476725.6009112038;m3 / h;0.9994185896101968;bar;1428.1448313935666;kJ / kg;843.322033782745;C;0.0;C;3.0332157145788177;m3 / kg;0.0;-;7308.967947870324;J / kgK;0.0;0.0;0.051345908997267854;0.30610203915710626;0.0;0.020529096983666496;0.6220229548619594;nan
1#发电锅炉_三过烟气入口;486.8514935530251;t / h;1356553.7355330267;m3 / h;0.9968131675624163;bar;1310.235431435197;kJ / kg;749.7858544890844;C;0.0;C;2.7863809672903437;m3 / kg;0.0;-;7199.393980285868;J / kgK;0.0;0.0;0.051345908997267854;0.30610203915710626;0.0;0.020529096983666496;0.6220229548619594;nan
1#发电锅炉_低过烟气入口;486.8514935530251;t / h;1187199.7035275653;m3 / h;0.9942726008459912;bar;1149.9681085019552;kJ / kg;619.791782391539;C;0.0;C;2.4385253393461395;m3 / kg;0.0;-;7032.577794950598;J / kgK;0.0;0.0;0.051345908997267854;0.30610203915710626;0.0;0.020529096983666496;0.6220229548619594;nan
1#发电锅炉_低再烟气入口;486.8514935530251;t / h;955729.40756969;m3 / h;0.9917702112850072;bar;940.7984584498577;kJ / kg;443.8820323705536;C;0.0;C;1.9630820080160591;m3 / kg;0.0;-;6772.594730445015;J / kgK;0.0;0.0;0.051345908997267854;0.30610203915710626;0.0;0.020529096983666496;0.6220229548619594;nan
1#发电锅炉_上省烟气入口;486.8514935530251;t / h;895437.6073638943;m3 / h;0.9892449555626123;bar;886.6420247019062;kJ / kg;396.94041858416006;C;0.0;C;1.8392417795188882;m3 / kg;0.0;-;6695.178528002394;J / kgK;0.0;0.0;0.051345908997267854;0.30610203915710626;0.0;0.020529096983666496;0.6220229548619594;nan
1#发电锅炉_SCR烟气入口;486.8514935530251;t / h;800170.560675896;m3 / h;0.9866789143013216;bar;804.0769039521151;kJ / kg;324.10347569779833;C;0.0;C;1.6435618895533817;m3 / kg;0.0;-;6565.470987333461;J / kgK;0.0;0.0;0.051345908997267854;0.30610203915710626;0.0;0.020529096983666496;0.6220229548619594;nan
1#发电锅炉_下省烟气入口;486.8514935530251;t / h;802253.00203577;m3 / h;0.9841172726710896;bar;804.0769039521151;kJ / kg;324.10341764384054;C;0.0;C;1.6478392541860265;m3 / kg;0.0;-;6566.176844037645;J / kgK;0.0;0.0;0.051345908997267854;0.30610203915710626;0.0;0.020529096983666496;0.6220229548619594;nan
1#发电锅炉_空预烟气入口;486.8514935530251;t / h;769320.4922329384;m3 / h;0.9815570942999209;bar;775.0399217581671;kJ / kg;298.10123165218226;C;0.0;C;1.5801954033630756;m3 / kg;0.0;-;6517.178009539675;J / kgK;0.0;0.0;0.051345908997267854;0.30610203915710626;0.0;0.020529096983666496;0.6220229548619594;nan
1#发电锅炉_煤预烟气入口;486.8514935530251;t / h;591678.6626535233;m3 / h;0.9815570869854265;bar;631.3333533227456;kJ / kg;166.24338730644268;C;0.0;C;1.2153165194903135;m3 / kg;0.0;-;6231.417236530575;J / kgK;0.0;0.0;0.051345908997267854;0.30610203915710626;0.0;0.020529096983666496;0.6220229548619594;nan
1#发电锅炉_水泵出口;287.6155625306896;t / h;370.86786343135066;m3 / h;187.8342196184555;bar;1211.8715043482987;kJ / kg;276.0000000000007;C;-84.5205231378111;C;0.001289456871415912;m3 / kg;0.0;-;2993.686512884698;J / kgK;nan;nan;1.0;nan;nan;nan;nan;l
1#发电锅炉_水侧下省入口;287.6155625306896;t / h;371.27904867820905;m3 / h;180.8921198635778;bar;1211.8715043482987;kJ / kg;275.9704269200339;C;-81.43040050771151;C;0.0012908865063189765;m3 / kg;0.0;-;2995.3175304092197;J / kgK;nan;nan;1.0;nan;nan;nan;nan;l
1#发电锅炉_水侧上省入口;287.6155625306896;t / h;379.65663906497764;m3 / h;177.44750599029712;bar;1261.022871628321;kJ / kg;285.69565693864536;C;-70.1186910495054;C;0.0013200142430556654;m3 / kg;0.0;-;3084.851059119472;J / kgK;nan;nan;1.0;nan;nan;nan;nan;l
1#发电锅炉_汽包给水入口;287.6155625306896;t / h;407.77832332402386;m3 / h;174.0550217953532;bar;1400.7821808907759;kJ / kg;311.6430741013089;C;-42.58292413631875;C;0.0014177894955893164;m3 / kg;0.0;-;3330.0142483415866;J / kgK;nan;nan;1.0;nan;nan;nan;nan;l
1#发电锅炉_下降管入口;999.9999999999999;t / h;1796.3125387319276;m3 / h;174.0550217953532;bar;1706.8123042030277;kJ / kg;354.2259982376278;C;1.1368683772161603e-13;C;0.0017963125387319278;m3 / kg;4.889459837926973e-16;-;3833.338987040086;J / kgK;nan;nan;1.0;nan;nan;nan;nan;tp
1#发电锅炉_上升管出口;999.9999999999999;t / h;4246.166168424194;m3 / h;174.0550217953532;bar;2032.406436190156;kJ / kg;354.22599823762766;C;0.0;C;0.004246166168424195;m3 / kg;0.3941740405241128;-;4352.316654183491;J / kgK;nan;nan;1.0;nan;nan;nan;nan;tp
1#发电锅炉_汽包饱和蒸汽出口;287.6155625306896;t / h;2304.2233782850467;m3 / h;174.0550217953532;bar;2532.8284760295733;kJ / kg;354.22599823762766;C;0.0;C;0.008011469748057106;m3 / kg;1.0000000000000024;-;5149.959600750081;J / kgK;nan;nan;1.0;nan;nan;nan;nan;tp
1#发电锅炉_蒸汽低过出口;287.6155625306896;t / h;3619.668902435437;m3 / h;170.54911252892558;bar;2886.8933104835883;kJ / kg;394.16372205059247;C;41.60695372266707;C;0.0125850940421529;m3 / kg;-1.0;-;5706.264348958872;J / kgK;nan;nan;1.0;nan;nan;nan;nan;state not recognised
1#发电锅炉_蒸汽屏过出口;287.6155625306896;t / h;3931.3849929264243;m3 / h;167.13970502179424;bar;2947.7044290918166;kJ / kg;404.5542522333095;C;53.6486665519559;C;0.013668888283842192;m3 / kg;-1.0;-;5803.362636559862;J / kgK;nan;nan;1.0;nan;nan;nan;nan;state not recognised
1#发电锅炉_蒸汽三过出口;287.6155625306896;t / h;5112.886600890134;m3 / h;163.7394029259655;bar;3218.9915070623224;kJ / kg;476.1821203435535;C;126.9515690705316;C;0.017776807888636316;m3 / kg;-1.0;-;6192.584624169742;J / kgK;nan;nan;1.0;nan;nan;nan;nan;state not recognised
1#发电锅炉_再热蒸汽低再出口;267.6155625306896;t / h;20607.761481479003;m3 / h;39.45703866746726;bar;3258.781331763948;kJ / kg;418.46737903384303;C;168.92256013606607;C;0.07700509374941807;m3 / kg;-1.0;-;6842.278885470776;J / kgK;nan;nan;1.0;nan;nan;nan;nan;state not recognised
1#发电锅炉_空气入口;273.00149355302506;t / h;223167.06045916173;m3 / h;1.05;bar;300.16426445957944;kJ / kg;25.0;C;0.0;C;0.8174572877046037;m3 / kg;0.0;-;6872.965416303081;J / kgK;0.0;0.0;0.0;0.0;0.0;0.24;0.76;nan
